2020-05-09 09:25:02.067 febs [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-09 09:25:02.737 febs [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9527 (http)
2020-05-09 09:25:02.756 febs [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9527"]
2020-05-09 09:25:02.758 febs [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2020-05-09 09:25:02.759 febs [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-05-09 09:25:02.992 febs [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-05-09 09:25:02.992 febs [restartedMain] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 8450 ms
2020-05-09 09:25:04.724 febs [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskExecutor'
2020-05-09 09:25:07.128 febs [restartedMain] INFO  org.quartz.impl.StdSchedulerFactory - Using default implementation for ThreadExecutor
2020-05-09 09:25:07.161 febs [restartedMain] INFO  o.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2020-05-09 09:25:07.162 febs [restartedMain] INFO  org.quartz.core.QuartzScheduler - Quartz Scheduler v.2.3.2 created.
2020-05-09 09:25:07.164 febs [restartedMain] INFO  org.quartz.simpl.RAMJobStore - RAMJobStore initialized.
2020-05-09 09:25:07.165 febs [restartedMain] INFO  org.quartz.core.QuartzScheduler - Scheduler meta-data: Quartz Scheduler (v2.3.2) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

2020-05-09 09:25:07.166 febs [restartedMain] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance.
2020-05-09 09:25:07.166 febs [restartedMain] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 2.3.2
2020-05-09 09:25:07.166 febs [restartedMain] INFO  org.quartz.core.QuartzScheduler - JobFactory set to: org.springframework.scheduling.quartz.SpringBeanJobFactory@549cb533
2020-05-09 09:25:07.333 febs [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-05-09 09:25:07.356 febs [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2020-05-09 09:25:07.506 febs [restartedMain] INFO  o.s.s.quartz.SchedulerFactoryBean - Starting Quartz Scheduler now
2020-05-09 09:25:07.507 febs [restartedMain] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED started.
2020-05-09 09:25:07.537 febs [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9527"]
2020-05-09 09:25:07.597 febs [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9527 (http) with context path ''
2020-05-09 09:25:07.603 febs [restartedMain] INFO  c.g.support.GroundWaterApplication - Started GroundWaterApplication in 15.503 seconds (JVM running for 21.655)
2020-05-09 09:25:07.613 febs [restartedMain] INFO  c.g.s.m.c.runner.CacheInitRunner - Redis连接中 ······
2020-05-09 09:25:07.648 febs [restartedMain] INFO  c.g.s.m.c.runner.CacheInitRunner - 缓存初始化 ······
2020-05-09 09:25:07.648 febs [restartedMain] INFO  c.g.s.m.c.runner.CacheInitRunner - 缓存用户数据 ······
2020-05-09 09:25:07.863 febs [restartedMain] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-05-09 09:25:09.282 febs [restartedMain] INFO  c.g.s.m.c.runner.StartedUpRunner -  __    ___   _      ___   _     ____ _____  ____ 
2020-05-09 09:25:09.283 febs [restartedMain] INFO  c.g.s.m.c.runner.StartedUpRunner - / /`  / / \ | |\/| | |_) | |   | |_   | |  | |_  
2020-05-09 09:25:09.283 febs [restartedMain] INFO  c.g.s.m.c.runner.StartedUpRunner - \_\_, \_\_/ |_|  | |_|   |_|__ |_|__  |_|  |_|__ 
2020-05-09 09:25:09.283 febs [restartedMain] INFO  c.g.s.m.c.runner.StartedUpRunner -                                                       
2020-05-09 09:25:09.300 febs [restartedMain] INFO  c.g.s.m.c.runner.StartedUpRunner - FEBS 启动完毕，时间：2020-05-09T09:25:09.299
2020-05-09 09:25:09.767 febs [RMI TCP Connection(1)-192.168.31.36] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-09 09:25:09.768 febs [RMI TCP Connection(1)-192.168.31.36] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-05-09 09:25:09.794 febs [RMI TCP Connection(1)-192.168.31.36] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 26 ms
2020-05-09 09:43:24.680 febs [http-nio-9527-exec-3] INFO  c.g.s.m.c.authentication.JWTUtil - token is valid
2020-05-09 09:43:25.382 febs [http-nio-9527-exec-7] INFO  c.g.s.m.c.authentication.JWTUtil - token is valid
2020-05-09 09:46:20.308 febs [http-nio-9527-exec-4] INFO  c.g.s.m.c.authentication.JWTUtil - token is valid
2020-05-09 09:46:20.313 febs [http-nio-9527-exec-5] INFO  c.g.s.m.c.authentication.JWTUtil - token is valid
2020-05-09 09:46:22.727 febs [http-nio-9527-exec-8] INFO  c.g.s.m.c.authentication.JWTUtil - token is valid
2020-05-09 09:47:18.353 febs [http-nio-9527-exec-2] INFO  c.g.s.m.c.authentication.JWTUtil - token is valid
2020-05-09 09:47:28.506 febs [http-nio-9527-exec-1] INFO  c.g.s.m.c.authentication.JWTUtil - token is valid
2020-05-09 09:47:58.681 febs [http-nio-9527-exec-5] INFO  c.g.s.m.c.authentication.JWTUtil - token is valid
2020-05-09 09:47:59.133 febs [http-nio-9527-exec-8] INFO  c.g.s.m.c.authentication.JWTUtil - token is valid
2020-05-09 09:48:07.680 febs [http-nio-9527-exec-3] INFO  c.g.s.m.c.authentication.JWTUtil - token is valid
2020-05-09 09:48:49.934 febs [http-nio-9527-exec-10] INFO  c.g.s.m.c.authentication.JWTUtil - token is valid
2020-05-09 09:48:52.595 febs [http-nio-9527-exec-4] INFO  c.g.s.m.c.authentication.JWTUtil - token is valid
2020-05-09 09:48:53.722 febs [http-nio-9527-exec-9] INFO  c.g.s.m.c.authentication.JWTUtil - token is valid
2020-05-09 09:49:03.014 febs [http-nio-9527-exec-3] INFO  c.g.s.m.c.authentication.JWTUtil - token is valid
2020-05-09 09:50:24.697 febs [http-nio-9527-exec-10] INFO  c.g.s.m.c.authentication.JWTUtil - token is valid
2020-05-09 09:50:54.206 febs [http-nio-9527-exec-5] INFO  c.g.s.m.c.authentication.JWTUtil - token is valid
2020-05-09 09:50:54.609 febs [http-nio-9527-exec-8] INFO  c.g.s.m.c.authentication.JWTUtil - token is valid
2020-05-09 09:51:04.219 febs [http-nio-9527-exec-7] INFO  c.g.s.m.c.authentication.JWTUtil - token is valid
2020-05-09 09:52:44.204 febs [restartedMain] INFO  c.g.support.GroundWaterApplication - Starting GroundWaterApplication on DESKTOP-VOOFMH8 with PID 12548 (D:\workspace\groundwater\groundwater\target\classes started by wensi in D:\workspace\groundwater\groundwater)
2020-05-09 09:52:44.210 febs [restartedMain] INFO  c.g.support.GroundWaterApplication - The following profiles are active: dev
2020-05-09 09:52:44.292 febs [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-05-09 09:52:44.293 febs [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-05-09 09:52:45.801 febs [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-09 09:52:45.804 febs [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-05-09 09:52:45.855 febs [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32ms. Found 0 Redis repository interfaces.
